solar,machine51,machine53,machine32,machine34,machine45,machine43,machine55,machine42
3.61E-12,1.92E-08,2.25E-08,9.22E-09,1.44E-08,1.64E-08,1.10E-08,1.41E-08,1.47E-08
3.61E-12,1.97E-08,2.31E-08,9.35E-09,1.49E-08,2.10E-08,1.43E-08,2.35E-08,1.24E-08
3.61E-12,1.78E-08,2.26E-08,1.21E-08,1.48E-08,1.67E-08,1.04E-08,2.44E-08,1.70E-08
3.61E-12,1.87E-08,2.08E-08,1.19E-08,9.90E-09,1.67E-08,1.16E-08,2.18E-08,1.17E-08
3.61E-12,1.73E-08,1.31E-08,9.09E-09,1.36E-08,1.73E-08,1.29E-08,2.62E-08,1.18E-08
3.61E-12,1.78E-08,1.68E-08,1.20E-08,1.34E-08,9.92E-09,1.44E-08,1.71E-08,1.53E-08
3.61E-12,1.88E-08,2.08E-08,9.86E-09,1.24E-08,1.67E-08,1.15E-08,1.12E-08,1.44E-08
3.61E-12,1.97E-08,1.63E-08,1.12E-08,8.44E-09,1.81E-08,1.23E-08,1.82E-08,1.56E-08
3.61E-12,1.95E-08,2.30E-08,1.10E-08,7.70E-09,9.38E-09,1.23E-08,2.42E-08,1.30E-08
3.61E-12,1.92E-08,1.53E-08,1.27E-08,9.53E-09,1.01E-08,1.23E-08,2.02E-08,1.43E-08
3.61E-12,1.75E-08,2.16E-08,1.12E-08,1.13E-08,2.05E-08,1.26E-08,2.27E-08,1.59E-08
3.61E-12,1.76E-08,1.88E-08,9.00E-09,6.97E-09,1.49E-08,1.69E-08,2.59E-08,1.23E-08
3.61E-12,1.83E-08,1.77E-08,8.72E-09,9.42E-09,9.57E-09,1.70E-08,1.46E-08,1.46E-08
3.61E-12,1.68E-08,1.92E-08,9.81E-09,1.22E-08,1.72E-08,1.66E-08,1.72E-08,1.20E-08
3.61E-12,1.71E-08,2.25E-08,9.33E-09,1.37E-08,1.50E-08,1.87E-08,1.04E-08,1.41E-08
3.61E-12,1.66E-08,2.31E-08,8.69E-09,1.32E-08,1.90E-08,1.76E-08,1.06E-08,1.39E-08
3.61E-12,1.72E-08,2.13E-08,1.05E-08,1.44E-08,9.85E-09,1.24E-08,1.17E-08,1.23E-08
3.61E-12,1.94E-08,1.89E-08,1.11E-08,7.76E-09,1.95E-08,1.55E-08,1.54E-08,1.45E-08
3.61E-12,1.77E-08,1.35E-08,9.71E-09,7.57E-09,9.88E-09,1.22E-08,1.66E-08,1.18E-08
3.61E-12,1.95E-08,2.29E-08,1.08E-08,1.07E-08,1.21E-08,1.79E-08,1.57E-08,1.22E-08
3.61E-12,1.91E-08,1.69E-08,9.71E-09,1.00E-08,8.62E-09,1.13E-08,2.60E-08,1.71E-08
3.61E-12,1.83E-08,1.33E-08,9.68E-09,9.56E-09,1.91E-08,1.02E-08,9.80E-09,1.25E-08
3.61E-12,1.86E-08,2.06E-08,1.15E-08,1.04E-08,1.51E-08,1.27E-08,2.25E-08,1.26E-08
3.61E-12,1.87E-08,1.46E-08,1.03E-08,1.19E-08,1.85E-08,1.08E-08,2.58E-08,1.60E-08
3.61E-12,1.80E-08,1.74E-08,1.06E-08,9.16E-09,1.46E-08,1.45E-08,2.38E-08,1.61E-08
